title,year,venue,topic,citation_count
REALM,2019,SIGIR,classification,18233
GPT-3,2017,NAACL,language_model,46582
Chinchilla,2021,SIGIR,embeddings,45365
RoBERTa,2022,NeurIPS,generation,36548
BERT,2017,NAACL,retrieval,36791
ANCE,2018,SIGIR,embeddings,42647
LoRA,2020,EMNLP,generation,9276
T5,2017,NAACL,classification,44438
BERT,2023,ICML,language_model,32488
ColBERT,2019,CIKM,retrieval,5408
PaLM,2023,NeurIPS,language_model,39454
GPT-3,2019,SIGIR,language_model,29902
InstructGPT,2021,EMNLP,retrieval,44199
Attention Is All You Need,2020,ICML,generation,2596
Chinchilla,2023,EMNLP,classification,21878
GPT-3,2024,ICLR,classification,37525
LLaMA,2021,ICLR,classification,34325
LoRA,2018,EMNLP,generation,10945
LLaMA,2023,NeurIPS,language_model,19115
RAG,2019,SIGIR,embeddings,9876
DPR,2018,ACL,language_model,9124
InstructGPT,2022,NeurIPS,generation,16628
FLAN,2020,ICLR,language_model,24959
BERT,2018,ICLR,language_model,2677
InstructGPT,2021,SIGIR,generation,20155
REALM,2017,ACL,generation,4569
RAG,2018,NAACL,retrieval,36138
Alpaca,2024,CIKM,classification,7078
QLoRA,2020,ICLR,retrieval,37491
Alpaca,2023,ICLR,language_model,21712
PaLM,2018,NeurIPS,embeddings,28219
RAG,2019,ACL,generation,11432
LLaMA,2022,CIKM,retrieval,5094
LLaMA,2018,CIKM,embeddings,38157
REALM,2020,ICML,retrieval,33232
RoBERTa,2024,NAACL,retrieval,11052
QLoRA,2021,CIKM,language_model,39106
BERT,2022,ACL,classification,23542
GPT-3,2020,ICML,classification,18792
FLAN,2022,EMNLP,embeddings,22092
REALM,2020,NAACL,embeddings,44762
LLaMA,2020,EMNLP,generation,48602
PaLM,2021,EMNLP,retrieval,24034
LLaMA,2022,EMNLP,classification,12074
BERT,2017,NAACL,language_model,32005
LoRA,2022,CIKM,language_model,41826
RoBERTa,2019,CIKM,embeddings,817
BERT,2019,ICML,generation,42243
FLAN,2022,ACL,embeddings,47691
ANCE,2023,ACL,retrieval,35360
PaLM,2017,NeurIPS,generation,13091
REALM,2021,CIKM,embeddings,1349
PaLM,2017,CIKM,retrieval,47271
BERT,2023,EMNLP,generation,47442
DPR,2022,NeurIPS,language_model,43895
FLAN,2017,NeurIPS,embeddings,43108
REALM,2022,CIKM,language_model,30456
Alpaca,2020,ICML,embeddings,26825
InstructGPT,2019,ICML,generation,48764
T5,2018,NeurIPS,embeddings,28390
REALM,2023,SIGIR,embeddings,17570
RAG,2018,NAACL,embeddings,23000
BERT,2023,EMNLP,language_model,46600
T5,2021,EMNLP,classification,27184
T5,2020,SIGIR,classification,1562
Chinchilla,2017,ICLR,language_model,29975
LoRA,2023,SIGIR,embeddings,25884
FLAN,2021,NAACL,language_model,19890
QLoRA,2018,NeurIPS,language_model,19746
ColBERT,2018,CIKM,generation,14373
LoRA,2020,ICML,embeddings,36418
ColBERT,2019,ICML,generation,46798
FLAN,2019,ICML,retrieval,39396
QLoRA,2017,CIKM,language_model,5481
RoBERTa,2020,CIKM,embeddings,28231
PaLM,2018,ICML,language_model,25403
GPT-3,2018,NAACL,embeddings,3623
DPR,2019,NeurIPS,classification,33266
T5,2019,NeurIPS,language_model,16958
ANCE,2024,NAACL,retrieval,44997
LoRA,2024,EMNLP,classification,10720
PaLM,2023,NeurIPS,language_model,18871
T5,2019,NeurIPS,generation,16513
QLoRA,2024,ACL,classification,46447
LoRA,2023,SIGIR,generation,29240
BERT,2024,ACL,embeddings,25034
Alpaca,2023,NeurIPS,classification,43984
ANCE,2024,NAACL,language_model,6381
LLaMA,2024,ICLR,retrieval,1558
REALM,2017,ICML,generation,21339
ColBERT,2024,CIKM,language_model,4656
LLaMA,2021,ICML,generation,29459
PaLM,2019,ACL,classification,23217
PaLM,2024,ICML,embeddings,38820
Chinchilla,2018,ICLR,language_model,8615
PaLM,2024,NeurIPS,classification,29972
QLoRA,2021,ACL,retrieval,6099
GPT-3,2018,ACL,generation,8555
LLaMA,2023,EMNLP,embeddings,21759
Alpaca,2023,NeurIPS,language_model,16933
