service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
llm,52.7,765.3,1.193,7101,99.369
db,63.5,789.2,1.053,4177,99.064
bm25,8.3,1622.3,0.997,420,99.064
llm,31.1,987.5,0.529,9152,99.831
embedding,70.2,1939.7,0.674,1636,99.527
retrieval,64.8,1670.3,0.096,6496,99.142
embedding,55.3,156.1,0.474,8338,99.881
bm25,96.3,1759.7,0.595,2729,99.004
reranker,20.2,1131.8,1.245,4143,99.816
memory,33.0,901.9,1.114,2403,99.205
memory,50.4,1083.0,1.782,6624,99.854
memory,21.9,644.4,1.716,1432,99.06
retrieval,42.9,192.5,0.548,1672,99.791
bm25,90.6,1205.1,0.924,7449,99.997
db,34.4,62.9,1.348,7033,99.228
ingest,18.7,97.3,1.836,2180,99.748
reranker,82.4,1921.5,0.04,2182,99.392
bm25,59.6,787.5,1.243,6031,99.787
llm,6.3,1110.8,0.416,6471,99.702
bm25,53.5,600.9,0.589,3123,99.52
ingest,75.9,361.0,1.76,5781,99.394
db,27.2,434.9,1.284,8165,99.666
cache,71.4,959.8,0.369,3512,99.339
retrieval,80.6,816.9,1.646,6117,99.574
ingest,39.1,1414.5,1.189,5924,99.857
cache,28.3,1102.7,1.345,3191,99.915
memory,25.7,922.6,0.003,3049,99.192
api,85.0,1688.0,0.741,2294,99.314
cache,16.7,463.0,1.218,8660,99.407
llm,52.0,122.8,0.697,7037,99.053
ingest,7.2,1059.4,1.541,2751,99.787
ingest,99.5,1819.9,0.052,7176,99.357
retrieval,94.5,1862.8,0.37,3892,99.496
embedding,80.8,1072.7,1.054,6705,99.275
cache,61.2,1096.7,0.768,9649,99.154
api,8.6,1448.8,1.283,7765,99.397
retrieval,8.7,300.2,0.023,7077,99.779
db,54.8,735.3,0.586,7231,99.566
api,65.4,1311.3,0.151,4610,99.998
api,51.4,1290.0,1.808,3186,99.151
memory,9.4,1130.0,0.684,183,99.014
reranker,2.2,165.9,1.437,9839,99.547
reranker,21.5,1606.0,0.335,8185,99.304
bm25,94.8,1691.0,1.491,7071,99.372
memory,23.2,248.4,0.244,6471,99.628
ingest,80.7,687.6,0.323,2620,99.391
bm25,43.3,1853.8,1.329,2575,99.574
bm25,96.6,1136.9,1.689,4079,99.207
retrieval,10.3,559.9,1.533,8734,99.522
retrieval,90.9,212.7,0.374,3908,99.485
cache,73.3,959.6,0.792,7815,99.266
cache,85.1,752.9,1.68,1288,99.394
api,99.6,1129.3,1.969,473,99.216
embedding,47.3,519.1,1.632,386,99.872
db,49.1,1284.8,0.347,6816,99.896
ingest,62.9,446.6,1.739,4421,99.152
memory,6.3,1599.0,0.996,7962,99.443
ingest,71.6,825.4,1.835,7042,99.668
db,27.0,1548.3,0.233,3442,99.543
ingest,65.7,1046.3,0.472,3179,99.861
ingest,55.9,1523.9,1.638,5659,99.887
ingest,98.2,524.8,0.777,4918,99.24
bm25,73.3,810.9,0.853,6829,99.373
embedding,79.6,730.4,1.345,7268,99.735
reranker,30.7,1892.0,1.629,842,99.343
llm,50.9,573.2,1.631,359,99.446
db,76.3,445.8,0.927,4829,99.124
db,61.8,1547.3,1.458,2661,99.786
reranker,29.0,1819.8,0.567,4711,99.951
bm25,42.6,768.2,0.89,1333,99.022
cache,21.4,851.5,0.942,8673,99.274
reranker,83.5,1977.9,1.71,6103,99.527
cache,72.8,95.5,0.122,6098,99.17
memory,82.5,1429.3,1.88,6340,99.368
embedding,58.3,1095.5,1.828,6824,99.461
llm,26.6,597.4,0.803,6804,99.659
reranker,38.4,1430.1,1.171,949,99.162
cache,36.2,1312.8,0.494,8854,99.387
memory,45.2,1270.0,0.733,434,99.871
llm,15.9,1025.1,1.079,6211,99.367
cache,77.0,1612.6,1.465,2615,99.663
db,56.6,1703.6,1.354,846,99.56
cache,87.0,292.9,0.403,2547,99.379
cache,88.3,663.8,1.365,4810,99.776
db,43.5,1258.0,0.544,6159,99.638
api,73.7,1196.7,0.032,3386,99.578
api,6.1,1413.3,0.463,4865,99.724
retrieval,26.8,1670.2,1.57,3394,99.742
bm25,49.9,1030.6,0.924,9196,99.666
ingest,56.6,1843.0,0.206,3316,99.49
api,96.6,899.5,0.93,8304,99.453
embedding,38.1,809.6,0.202,1684,99.983
bm25,48.3,190.5,0.855,98,99.652
embedding,79.9,1859.1,0.738,9517,99.024
bm25,56.1,1419.6,1.619,9674,99.531
cache,86.8,1378.1,1.519,2463,99.204
bm25,38.6,1284.3,1.579,2611,99.985
llm,23.5,331.9,1.219,1103,99.927
api,84.0,518.1,0.988,4487,99.502
api,96.4,317.9,0.931,7439,99.963
