service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
embedding,54.5,1192.5,1.041,7933,99.458
cache,26.9,975.3,1.814,1085,99.865
reranker,9.1,388.2,0.646,2483,99.638
bm25,19.9,639.4,0.221,1610,99.253
memory,47.4,1085.3,1.214,8762,99.795
ingest,17.9,995.0,0.837,4694,99.578
memory,94.8,1650.7,1.458,3007,99.625
api,7.8,739.5,1.466,2713,99.432
retrieval,16.6,1694.3,0.263,8292,99.729
ingest,42.7,175.9,1.306,9222,99.342
reranker,43.5,1178.6,1.929,9547,99.202
embedding,48.0,1555.2,0.223,1166,99.957
reranker,45.3,74.0,1.701,1201,99.615
embedding,25.4,242.3,0.845,1501,99.854
cache,29.3,1181.6,1.916,2071,99.83
memory,78.1,557.1,1.13,9083,99.268
embedding,2.5,329.5,0.427,4556,99.813
retrieval,11.8,1796.6,0.078,5480,99.411
api,76.3,1556.2,0.743,8055,99.738
embedding,87.2,1945.0,0.603,3678,99.897
llm,63.5,1846.7,1.853,3621,99.849
cache,78.2,1884.3,1.041,7457,99.717
memory,97.2,1117.2,0.272,2372,99.134
bm25,5.7,20.3,1.535,1362,99.67
reranker,90.4,1953.1,0.472,9701,99.385
memory,71.0,1478.1,1.184,9924,99.283
ingest,46.2,509.8,0.606,6056,99.632
bm25,63.5,381.3,0.42,2647,99.604
cache,17.3,1092.5,1.34,1673,99.305
memory,37.0,271.1,0.759,6294,99.201
llm,35.6,326.9,0.025,2677,99.211
db,31.2,1224.9,1.685,2552,99.296
bm25,23.1,1562.8,1.641,3395,99.057
api,63.1,31.6,0.95,6038,99.981
memory,92.4,1876.8,0.562,7659,99.701
ingest,98.4,498.9,0.081,5325,99.463
db,70.5,339.4,1.885,2821,99.828
memory,4.5,884.1,1.817,347,99.431
embedding,20.4,1664.0,0.93,9515,99.134
memory,12.2,1377.7,0.778,1813,99.661
api,11.6,1732.7,0.141,6212,99.301
db,27.1,884.0,0.651,1031,99.713
embedding,68.9,329.7,1.081,2524,99.847
memory,56.9,574.8,1.993,7521,99.93
retrieval,41.0,384.7,1.345,3583,99.659
bm25,44.4,375.1,1.54,6822,99.478
reranker,28.1,1486.7,0.585,4567,99.288
cache,23.0,1678.6,1.77,3703,99.191
retrieval,86.9,203.5,1.099,4306,99.481
retrieval,70.7,573.9,1.072,2958,99.155
db,55.8,168.5,1.503,6679,99.448
embedding,91.9,1988.7,1.284,3330,99.839
ingest,36.5,1029.0,1.77,489,99.208
cache,22.2,438.6,0.301,2946,99.139
db,76.9,1692.3,1.905,7934,99.865
retrieval,88.0,1188.4,1.67,2320,99.932
llm,76.0,1739.4,0.369,6081,99.216
api,73.0,677.9,0.184,5175,99.095
api,19.4,48.6,0.475,3167,99.743
api,58.0,1321.8,1.988,3092,99.202
embedding,46.2,1877.3,1.891,9369,99.54
db,7.5,1693.0,1.942,2013,99.662
memory,35.4,434.5,0.73,1121,99.223
api,56.4,1798.9,1.533,4338,99.325
db,6.8,1819.1,0.336,4097,99.611
reranker,8.4,1525.6,0.093,9898,99.851
reranker,9.1,289.4,0.378,4222,99.656
memory,18.8,1562.1,1.295,4765,99.703
bm25,24.6,526.2,1.119,5502,99.613
llm,36.5,1258.3,1.924,2126,99.576
embedding,31.6,68.5,1.176,7309,99.903
cache,55.4,1006.3,0.054,5393,99.531
llm,2.1,225.3,1.42,8887,99.994
db,15.3,288.7,1.986,8785,99.975
ingest,80.1,1353.2,0.024,5000,99.9
llm,96.9,1929.0,0.14,3957,99.865
llm,50.9,1655.8,1.618,4593,99.691
llm,40.7,381.2,1.357,3268,99.889
cache,63.5,1772.4,1.564,855,99.11
memory,32.3,1124.8,0.612,6799,99.149
api,89.5,1643.6,0.53,8195,99.913
reranker,30.4,776.4,0.04,5368,99.584
reranker,53.0,1350.7,0.875,3165,99.823
embedding,73.9,767.7,1.227,1217,99.134
memory,83.8,285.3,0.975,5059,99.046
llm,82.4,908.7,0.246,1583,99.036
retrieval,45.4,1694.2,0.158,44,99.227
retrieval,36.0,773.5,1.959,8536,99.387
memory,63.2,713.6,0.545,9701,99.333
retrieval,64.6,1621.5,0.409,6289,99.082
embedding,61.2,278.3,1.597,293,99.055
db,30.0,163.8,1.191,493,99.223
db,40.8,740.2,1.537,822,99.969
reranker,20.7,1667.7,1.139,6849,99.239
db,13.5,1044.5,1.481,9055,99.735
bm25,98.9,105.6,1.069,282,99.126
db,9.8,664.2,0.449,6902,99.435
api,30.1,1816.6,0.177,7944,99.239
ingest,45.3,991.4,0.471,6016,99.845
retrieval,51.6,56.9,0.433,9416,99.274
