service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
embedding,86.1,1975.6,0.358,8278,99.179
bm25,9.7,593.3,0.635,8842,99.447
db,16.6,1496.3,1.019,5293,99.471
db,45.2,346.8,1.231,4532,99.43
llm,68.3,1783.3,1.327,5386,99.234
db,58.9,151.0,1.253,9892,99.324
db,57.4,596.0,1.269,3020,99.205
db,8.1,218.9,1.012,6835,99.233
cache,24.3,40.9,1.994,2867,99.648
llm,31.5,1136.6,1.232,9401,99.933
embedding,36.2,23.9,1.829,2843,99.056
cache,38.0,1405.7,1.247,8738,99.499
reranker,87.1,767.8,1.923,2245,99.041
bm25,51.0,1821.9,0.055,3188,99.052
reranker,56.9,1361.9,0.78,7334,99.783
reranker,41.5,1216.8,0.871,8509,99.904
retrieval,27.2,519.9,0.615,5362,99.578
db,5.6,979.2,0.189,3121,99.887
llm,49.0,616.5,0.11,1898,99.003
ingest,25.2,73.1,1.891,5220,99.434
cache,25.1,789.4,1.075,5612,99.879
embedding,52.3,268.9,0.555,1077,99.052
bm25,33.3,1573.3,0.534,6539,99.673
retrieval,69.3,101.0,0.638,7290,99.043
api,24.0,1201.4,0.842,9771,99.358
ingest,94.8,1602.8,1.709,5764,99.887
memory,98.8,524.0,0.171,1267,99.563
bm25,30.9,1873.4,0.477,9215,99.827
memory,32.6,897.1,1.007,4667,99.303
api,91.4,1560.3,1.818,7660,99.688
memory,67.5,85.5,1.483,8648,99.103
cache,99.0,111.2,0.626,8953,99.323
cache,79.8,1838.4,0.038,3610,99.27
bm25,10.6,354.5,0.767,5661,99.058
embedding,65.6,1378.6,1.11,5557,99.939
reranker,46.0,1575.7,1.921,5158,99.259
memory,64.7,455.7,1.175,413,99.755
api,39.4,22.0,0.285,4089,99.823
api,24.5,612.8,0.641,2955,99.133
cache,92.7,97.0,1.787,4205,99.472
bm25,97.8,1940.7,0.168,2797,99.851
bm25,19.2,690.6,1.111,5737,99.898
embedding,41.6,1470.6,0.995,8866,99.286
llm,93.9,296.5,0.876,2817,99.795
api,3.9,401.0,0.34,8604,99.226
reranker,86.5,313.5,1.188,2546,99.617
bm25,79.8,679.2,0.411,6795,99.719
api,41.8,1915.5,1.653,3713,99.897
memory,55.0,1969.0,0.453,5831,99.013
bm25,15.9,245.7,0.682,8603,99.243
ingest,75.8,934.0,0.535,2300,99.052
ingest,53.7,183.6,1.875,9622,99.74
api,66.2,1039.7,1.59,6093,99.098
reranker,90.5,1855.1,1.278,3258,99.106
reranker,36.1,1121.9,0.713,5931,99.315
bm25,35.8,1968.0,0.285,7654,99.079
cache,15.5,234.7,1.639,1903,99.417
db,96.6,599.6,0.464,167,99.815
cache,11.8,1033.8,1.271,718,99.707
retrieval,26.8,1223.9,1.183,8224,99.745
cache,76.7,227.8,0.261,4024,99.856
bm25,35.5,1358.1,0.749,7551,99.562
llm,74.1,816.5,0.486,8237,99.647
ingest,66.3,790.9,0.224,638,99.569
bm25,80.0,846.4,1.142,1574,99.324
cache,96.9,1955.3,1.406,1126,99.764
db,75.3,683.7,1.662,2253,99.226
embedding,5.3,311.5,0.93,5750,99.115
retrieval,12.1,1114.8,1.589,2836,99.727
cache,1.6,1145.7,1.731,354,99.32
db,71.6,262.7,1.362,5203,99.904
embedding,75.3,397.4,1.757,9225,99.665
reranker,14.3,279.7,0.704,5584,99.014
reranker,95.8,1191.1,0.245,7239,99.823
embedding,90.0,474.1,1.553,8962,99.216
api,63.4,1999.9,0.868,5722,99.902
memory,71.4,897.7,0.049,6046,99.837
api,82.9,708.8,0.513,9311,99.68
llm,91.8,837.0,0.83,7629,99.296
llm,75.9,1975.2,1.617,3469,99.415
retrieval,40.7,499.9,0.104,2568,99.958
memory,30.4,315.9,1.771,1414,99.271
reranker,75.4,1429.7,0.726,1723,99.698
bm25,39.6,663.3,0.118,4729,99.021
cache,88.4,192.1,1.59,667,99.883
api,88.0,1616.7,0.948,4409,99.074
api,82.1,169.1,0.479,9466,99.945
db,74.9,1343.9,1.544,4870,99.138
cache,94.9,1292.8,0.672,9900,99.472
ingest,45.2,801.2,0.166,4139,99.566
bm25,73.4,1388.0,0.796,20,99.827
retrieval,32.6,963.4,0.665,5562,99.58
memory,51.8,409.7,1.588,6416,99.529
retrieval,27.7,1670.4,0.332,6329,99.654
llm,15.2,1262.4,1.675,3842,99.184
db,77.2,1282.9,1.403,9901,99.678
memory,41.7,1815.5,0.659,494,99.819
reranker,91.1,324.4,0.966,2117,99.783
bm25,36.7,1553.6,1.081,6294,99.121
bm25,12.3,1155.9,0.286,5399,99.051
