title,year,venue,topic,citation_count
ColBERT,2017,SIGIR,generation,38815
Alpaca,2018,ACL,generation,43629
T5,2024,NeurIPS,classification,3184
PaLM,2023,NeurIPS,retrieval,42154
RAG,2019,ICML,language_model,48470
PaLM,2017,SIGIR,retrieval,4624
Chinchilla,2019,ICLR,classification,15632
LoRA,2022,CIKM,generation,48582
QLoRA,2021,EMNLP,language_model,22773
REALM,2022,NAACL,language_model,9136
LLaMA,2020,CIKM,embeddings,22917
BERT,2023,ICLR,retrieval,6425
REALM,2022,EMNLP,generation,22312
RAG,2023,ICLR,retrieval,8086
Attention Is All You Need,2019,SIGIR,generation,31318
InstructGPT,2019,SIGIR,embeddings,45117
FLAN,2024,ICML,retrieval,42328
LLaMA,2019,ICML,embeddings,13517
RAG,2019,ICML,retrieval,29751
LLaMA,2021,ICLR,classification,36219
FLAN,2020,ICLR,language_model,47765
ColBERT,2024,ICML,retrieval,15125
InstructGPT,2018,EMNLP,retrieval,5733
ColBERT,2024,EMNLP,retrieval,29716
LoRA,2020,NeurIPS,classification,18365
DPR,2021,ICML,retrieval,2013
GPT-3,2023,NeurIPS,generation,43311
RoBERTa,2024,ICLR,language_model,42884
InstructGPT,2017,NAACL,retrieval,8177
DPR,2021,CIKM,embeddings,39166
LoRA,2020,ACL,retrieval,43963
QLoRA,2022,CIKM,generation,25857
LLaMA,2020,EMNLP,classification,10189
Chinchilla,2017,SIGIR,retrieval,41911
QLoRA,2017,SIGIR,generation,40255
FLAN,2022,NeurIPS,embeddings,10941
RoBERTa,2018,SIGIR,embeddings,38659
RAG,2023,ICML,retrieval,46076
Alpaca,2022,EMNLP,generation,49276
ColBERT,2021,ACL,language_model,24487
RoBERTa,2023,NAACL,classification,5613
RAG,2022,ICML,classification,12643
GPT-3,2019,NAACL,classification,17920
FLAN,2024,NAACL,classification,48643
BERT,2022,ACL,classification,117
RoBERTa,2022,CIKM,generation,6183
T5,2022,NeurIPS,language_model,19110
GPT-3,2021,ICML,generation,38541
Attention Is All You Need,2018,ICML,classification,22818
PaLM,2024,EMNLP,retrieval,23365
LoRA,2017,EMNLP,language_model,43286
T5,2020,CIKM,language_model,19997
Alpaca,2018,NAACL,classification,29583
Chinchilla,2024,EMNLP,embeddings,44511
ANCE,2019,CIKM,embeddings,19595
T5,2021,SIGIR,retrieval,9116
LLaMA,2021,EMNLP,generation,39554
ColBERT,2018,ICML,embeddings,22472
GPT-3,2021,SIGIR,generation,24441
PaLM,2022,NeurIPS,language_model,10591
Attention Is All You Need,2017,SIGIR,retrieval,43557
BERT,2022,EMNLP,generation,27586
REALM,2019,ACL,generation,39483
FLAN,2017,EMNLP,generation,9958
LoRA,2022,ICML,language_model,12098
Attention Is All You Need,2019,CIKM,retrieval,22714
FLAN,2018,NAACL,generation,39496
InstructGPT,2020,NAACL,embeddings,37162
REALM,2022,NAACL,language_model,3877
ColBERT,2017,EMNLP,classification,2093
QLoRA,2021,ICML,classification,25146
LoRA,2022,ICML,retrieval,34535
Alpaca,2024,NAACL,generation,20775
PaLM,2024,ICML,retrieval,15297
Alpaca,2022,NAACL,embeddings,5909
GPT-3,2020,EMNLP,language_model,4040
Chinchilla,2018,EMNLP,generation,37401
PaLM,2022,NAACL,retrieval,26881
DPR,2020,CIKM,classification,19848
LLaMA,2020,SIGIR,retrieval,41204
RoBERTa,2019,SIGIR,classification,30520
QLoRA,2024,NAACL,embeddings,11503
RAG,2020,CIKM,generation,41180
ANCE,2021,ICLR,generation,17794
LoRA,2022,ICLR,language_model,36566
LLaMA,2021,ICLR,retrieval,38579
RoBERTa,2023,ICML,classification,39082
ANCE,2022,NeurIPS,retrieval,5713
LoRA,2019,CIKM,classification,16598
RoBERTa,2019,EMNLP,classification,43069
FLAN,2021,NAACL,language_model,11484
REALM,2022,EMNLP,generation,10282
DPR,2020,ACL,retrieval,4445
ANCE,2020,EMNLP,classification,47161
FLAN,2020,CIKM,embeddings,9012
RAG,2017,ACL,language_model,1353
RoBERTa,2020,ACL,retrieval,8199
Alpaca,2022,NeurIPS,classification,23841
RoBERTa,2021,SIGIR,retrieval,48783
RAG,2023,EMNLP,embeddings,3661
