service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
embedding,47.0,1425.0,1.216,2959,99.836
llm,71.8,393.0,0.947,2432,99.741
cache,6.3,910.5,1.729,918,99.239
embedding,78.2,538.9,1.619,6992,99.246
memory,10.7,255.6,0.701,660,99.456
api,79.8,1818.7,1.525,3544,99.497
memory,76.0,875.5,1.605,5300,99.196
bm25,21.2,1153.5,0.982,2917,99.779
retrieval,13.5,228.9,1.437,3481,99.922
retrieval,97.2,526.5,0.878,680,99.9
cache,75.5,1050.3,1.983,1564,99.825
memory,75.1,810.5,0.965,4534,99.355
db,16.9,1936.9,0.62,4252,99.491
api,41.6,1948.2,0.922,7723,99.965
bm25,92.4,1881.6,1.478,3766,99.343
db,88.6,1010.6,1.07,6033,99.294
bm25,21.0,630.5,1.67,9139,99.682
retrieval,38.1,1893.8,0.249,3456,99.83
embedding,53.2,1750.9,0.453,9121,99.558
reranker,93.7,695.7,1.584,991,99.987
db,84.6,101.3,1.996,6788,99.901
bm25,33.1,691.6,1.927,8094,99.19
ingest,50.1,330.7,1.944,6383,99.85
bm25,17.5,74.7,1.961,7990,99.17
reranker,84.1,1421.4,1.803,648,99.027
cache,64.3,1004.0,0.37,8661,99.706
bm25,51.4,160.2,0.715,9500,99.842
ingest,75.0,1720.4,1.33,6317,99.733
cache,25.0,1089.0,1.435,697,99.626
cache,46.8,1911.0,0.172,7052,99.318
api,69.9,1518.5,0.454,8653,99.285
bm25,55.2,942.2,1.65,4785,99.568
embedding,99.5,479.9,0.934,8033,99.768
retrieval,5.9,189.2,1.873,1311,99.061
reranker,54.1,789.8,0.518,7024,99.224
bm25,85.7,1036.6,1.446,5945,99.608
api,84.8,1185.9,0.737,8028,99.521
ingest,41.0,785.6,0.605,3610,99.815
bm25,13.0,1248.9,0.28,2431,99.321
llm,80.2,1726.4,0.04,2452,99.603
embedding,72.5,1299.1,1.255,1014,99.908
retrieval,75.9,755.8,1.783,2287,99.421
cache,64.4,12.5,1.363,3045,99.286
llm,27.2,1055.4,1.624,9123,99.254
db,71.6,1306.7,1.853,7810,99.629
memory,7.2,1598.7,0.13,9663,99.765
retrieval,46.1,1048.8,1.667,6572,99.493
db,48.6,1765.9,0.117,1679,99.129
reranker,25.1,1822.0,1.692,2166,99.761
db,10.4,1843.5,1.647,5119,99.788
llm,46.1,1222.2,0.08,6941,99.104
db,53.5,1755.6,1.807,9040,99.982
db,34.1,97.7,0.579,7361,99.819
api,83.4,498.9,1.204,8920,99.342
bm25,64.0,139.8,0.306,2426,99.624
api,13.7,1360.6,0.99,9807,99.739
ingest,38.3,719.6,0.301,3205,99.187
bm25,58.3,880.7,1.232,3853,99.739
cache,25.4,1520.7,1.436,6120,99.443
retrieval,80.0,1234.2,0.572,4404,99.084
ingest,77.0,1910.2,1.268,4196,99.767
cache,50.7,1154.8,0.543,4707,99.179
embedding,43.7,638.5,0.561,9634,99.112
embedding,23.8,819.9,1.46,7577,99.261
llm,59.4,551.3,0.49,3801,99.297
ingest,35.8,793.8,1.491,5163,99.92
cache,47.1,95.5,0.563,521,99.699
db,84.8,1258.3,0.5,4276,99.322
db,63.3,916.4,1.685,9556,99.402
cache,39.9,340.6,1.634,6889,99.701
ingest,94.4,1240.9,0.264,857,99.715
memory,32.1,777.8,0.832,5706,99.388
api,11.4,876.2,1.71,5790,99.409
api,98.4,215.7,1.486,1717,99.937
ingest,33.3,790.9,1.626,7604,99.812
cache,91.0,458.8,0.642,6777,99.822
api,19.2,1955.9,0.607,8886,99.295
embedding,76.1,1302.9,0.282,3441,99.785
retrieval,63.0,1810.6,0.109,7886,99.183
reranker,88.6,1538.1,0.276,4638,99.889
ingest,5.8,942.2,1.079,2330,99.479
db,9.2,1556.8,0.678,5742,99.135
bm25,94.0,208.5,1.971,929,99.15
reranker,65.2,1957.4,1.461,7060,99.272
memory,76.5,1476.4,1.494,1567,99.19
memory,66.1,621.0,1.079,1234,99.976
bm25,58.4,528.4,0.416,6103,99.233
embedding,32.9,1977.1,0.476,3129,99.574
cache,83.5,152.4,1.799,1175,99.301
bm25,67.5,945.3,1.773,516,99.429
memory,14.8,1574.0,0.065,6374,99.734
db,40.4,1722.3,0.109,6607,99.527
db,32.3,36.8,0.76,6398,99.712
api,32.7,1722.4,0.766,5026,99.48
reranker,78.0,819.5,1.881,4420,99.575
retrieval,84.8,839.8,1.165,7821,99.127
ingest,73.3,550.5,0.378,7953,99.336
bm25,26.0,942.1,1.058,434,99.012
memory,4.8,160.7,1.399,9938,99.062
reranker,81.9,1813.4,0.947,5454,99.515
