title,year,venue,topic,citation_count
DPR,2019,ACL,language_model,19210
LoRA,2023,ICLR,retrieval,33594
QLoRA,2023,EMNLP,retrieval,4901
FLAN,2018,ICLR,retrieval,26527
Chinchilla,2021,NeurIPS,language_model,30348
QLoRA,2019,NeurIPS,classification,42557
RAG,2018,ACL,classification,19783
LLaMA,2024,CIKM,classification,43850
InstructGPT,2024,ACL,embeddings,37939
Chinchilla,2018,SIGIR,classification,35653
Chinchilla,2017,NeurIPS,retrieval,32524
ColBERT,2020,EMNLP,retrieval,29995
LLaMA,2024,EMNLP,generation,14543
LoRA,2023,ACL,classification,40289
DPR,2024,ICLR,generation,22054
RoBERTa,2022,NeurIPS,retrieval,26701
DPR,2024,NeurIPS,retrieval,38664
LoRA,2023,SIGIR,classification,33012
GPT-3,2018,ACL,retrieval,10891
GPT-3,2017,NeurIPS,language_model,3548
RoBERTa,2019,NeurIPS,language_model,19347
GPT-3,2021,ACL,retrieval,46381
LLaMA,2020,NAACL,classification,20019
FLAN,2018,ACL,embeddings,6561
RoBERTa,2019,EMNLP,classification,10728
RoBERTa,2024,ICML,language_model,25714
LLaMA,2018,CIKM,embeddings,37872
Chinchilla,2018,ACL,language_model,18884
PaLM,2020,NAACL,language_model,12752
DPR,2017,ACL,language_model,36434
ColBERT,2023,CIKM,embeddings,16694
REALM,2022,EMNLP,retrieval,7406
RoBERTa,2023,ACL,embeddings,40689
GPT-3,2018,SIGIR,retrieval,19655
T5,2017,ICML,classification,7140
LLaMA,2019,ICLR,language_model,9472
InstructGPT,2021,ICLR,language_model,32754
BERT,2020,SIGIR,retrieval,20431
GPT-3,2019,NAACL,embeddings,42097
LLaMA,2022,NAACL,language_model,38474
DPR,2019,ICML,retrieval,9676
PaLM,2024,ICLR,classification,29608
InstructGPT,2020,CIKM,retrieval,44519
DPR,2019,NeurIPS,embeddings,2318
REALM,2017,SIGIR,embeddings,40733
ColBERT,2022,SIGIR,classification,35260
DPR,2021,NAACL,classification,8835
BERT,2018,NeurIPS,language_model,41353
GPT-3,2018,ICLR,generation,35051
T5,2024,CIKM,retrieval,31795
Attention Is All You Need,2017,ACL,generation,18214
QLoRA,2022,ICLR,embeddings,8250
Chinchilla,2021,ICLR,embeddings,30340
T5,2022,ICML,language_model,45633
RAG,2018,EMNLP,embeddings,15521
Chinchilla,2022,EMNLP,classification,49791
Attention Is All You Need,2020,CIKM,language_model,36663
RAG,2018,ICLR,classification,9640
BERT,2024,EMNLP,generation,19251
RoBERTa,2022,EMNLP,embeddings,34163
BERT,2020,CIKM,generation,22157
Attention Is All You Need,2022,SIGIR,language_model,45502
Attention Is All You Need,2017,ICLR,embeddings,39489
PaLM,2023,ICML,classification,38722
InstructGPT,2022,SIGIR,classification,45278
T5,2017,ACL,retrieval,6792
FLAN,2020,NeurIPS,classification,35727
ColBERT,2017,NAACL,language_model,46864
Alpaca,2022,NeurIPS,generation,28733
T5,2023,NeurIPS,language_model,32416
RoBERTa,2020,ICLR,retrieval,22035
Attention Is All You Need,2019,CIKM,classification,44536
DPR,2022,ACL,classification,12146
Alpaca,2021,ICML,generation,45458
GPT-3,2017,NAACL,retrieval,46284
Chinchilla,2019,EMNLP,generation,33238
REALM,2023,NAACL,classification,7359
DPR,2017,NAACL,classification,9797
Alpaca,2020,SIGIR,classification,23109
Chinchilla,2024,NeurIPS,generation,15302
Chinchilla,2023,SIGIR,language_model,35040
Attention Is All You Need,2017,SIGIR,generation,23633
LLaMA,2024,ACL,language_model,19105
ColBERT,2023,ICML,classification,20445
QLoRA,2021,CIKM,generation,26403
LoRA,2017,ICLR,retrieval,13726
GPT-3,2021,CIKM,generation,213
RAG,2017,NAACL,language_model,49111
Chinchilla,2022,ACL,classification,12518
T5,2023,ICLR,language_model,14402
Alpaca,2022,ICLR,classification,2012
RoBERTa,2023,SIGIR,generation,14324
InstructGPT,2024,SIGIR,generation,243
PaLM,2023,EMNLP,embeddings,45932
ANCE,2024,CIKM,classification,31954
RAG,2023,NeurIPS,retrieval,46578
GPT-3,2018,ICLR,retrieval,29375
FLAN,2022,ICLR,classification,42486
LLaMA,2021,ICML,generation,31293
ANCE,2024,SIGIR,classification,13811
