title,year,venue,topic,citation_count
RoBERTa,2022,NAACL,embeddings,26828
LLaMA,2019,ICLR,classification,5602
Attention Is All You Need,2023,ICML,language_model,15915
LLaMA,2024,ACL,retrieval,5006
Alpaca,2017,NeurIPS,embeddings,42632
Chinchilla,2022,CIKM,classification,48006
RAG,2017,EMNLP,language_model,40109
DPR,2022,ICML,embeddings,5830
DPR,2022,ICML,retrieval,15439
GPT-3,2021,EMNLP,language_model,31112
LLaMA,2020,CIKM,classification,43280
Chinchilla,2021,NAACL,classification,5251
BERT,2017,CIKM,classification,19320
Alpaca,2023,CIKM,retrieval,28022
LoRA,2023,EMNLP,classification,26582
ColBERT,2018,ICML,classification,29361
QLoRA,2017,ICML,generation,2318
REALM,2019,NAACL,generation,18615
ANCE,2020,CIKM,generation,33285
GPT-3,2017,NAACL,generation,46869
RAG,2021,CIKM,classification,13958
GPT-3,2020,EMNLP,retrieval,25535
ColBERT,2024,EMNLP,generation,34952
QLoRA,2017,NeurIPS,generation,34932
ANCE,2019,ICML,classification,6637
T5,2021,EMNLP,language_model,5471
InstructGPT,2021,ICML,retrieval,16677
GPT-3,2018,ICLR,retrieval,10804
Alpaca,2018,ICLR,embeddings,49973
Alpaca,2018,EMNLP,generation,16086
Alpaca,2022,EMNLP,generation,45815
ANCE,2022,EMNLP,retrieval,3171
RAG,2021,SIGIR,embeddings,37065
Alpaca,2020,ICML,generation,15614
RoBERTa,2018,ACL,embeddings,49018
QLoRA,2021,ICML,classification,35720
DPR,2021,SIGIR,language_model,45223
RAG,2023,CIKM,embeddings,12528
Chinchilla,2023,CIKM,embeddings,18722
ColBERT,2022,CIKM,generation,8187
PaLM,2022,NAACL,generation,29419
FLAN,2018,ICLR,classification,19121
InstructGPT,2019,CIKM,generation,10979
FLAN,2024,ICLR,embeddings,21656
T5,2021,NeurIPS,generation,9352
RAG,2022,SIGIR,classification,41425
GPT-3,2021,EMNLP,generation,24093
T5,2023,NeurIPS,retrieval,15570
ColBERT,2024,NeurIPS,retrieval,32475
BERT,2019,EMNLP,embeddings,37539
QLoRA,2022,ACL,embeddings,9321
T5,2017,NAACL,classification,49091
LoRA,2023,ICLR,retrieval,41602
RAG,2019,EMNLP,classification,31163
RoBERTa,2021,CIKM,generation,42268
ColBERT,2017,ICLR,embeddings,4888
REALM,2021,ICML,retrieval,22939
RAG,2023,ICML,embeddings,24555
LoRA,2017,ICLR,classification,31870
DPR,2018,SIGIR,language_model,44973
Alpaca,2020,EMNLP,embeddings,49280
BERT,2018,NAACL,generation,16960
Attention Is All You Need,2020,SIGIR,generation,42330
Alpaca,2018,NeurIPS,embeddings,40976
BERT,2022,ICML,classification,7514
LLaMA,2018,ICLR,generation,1207
QLoRA,2017,NAACL,retrieval,8157
LoRA,2024,ACL,language_model,20240
Chinchilla,2019,ACL,generation,36198
QLoRA,2024,NeurIPS,classification,31616
REALM,2020,ICML,retrieval,20423
RAG,2024,EMNLP,language_model,46907
T5,2020,ICML,retrieval,10468
PaLM,2024,SIGIR,language_model,2673
PaLM,2020,ACL,embeddings,606
RAG,2019,ACL,generation,27049
Alpaca,2020,ICLR,generation,5186
ColBERT,2022,EMNLP,language_model,17016
REALM,2019,EMNLP,classification,46303
InstructGPT,2017,ICML,language_model,46452
DPR,2021,EMNLP,language_model,29990
FLAN,2023,ICLR,classification,10167
Alpaca,2019,EMNLP,language_model,8982
ANCE,2017,NAACL,generation,42104
GPT-3,2022,ICML,retrieval,35324
ColBERT,2017,CIKM,embeddings,49729
BERT,2018,SIGIR,language_model,41399
RoBERTa,2024,ACL,embeddings,38303
ColBERT,2019,ICML,embeddings,14270
FLAN,2019,NeurIPS,language_model,29745
InstructGPT,2019,NAACL,language_model,4906
PaLM,2019,ICML,generation,19838
BERT,2020,SIGIR,generation,46701
DPR,2017,NAACL,generation,34523
QLoRA,2024,NAACL,retrieval,38827
PaLM,2020,SIGIR,language_model,22770
InstructGPT,2022,NeurIPS,generation,40176
InstructGPT,2020,ACL,embeddings,44677
DPR,2023,ICML,generation,36569
Chinchilla,2023,ICML,language_model,15972
