title,year,venue,topic,citation_count
PaLM,2021,EMNLP,embeddings,32874
RAG,2020,NAACL,language_model,48663
DPR,2017,NeurIPS,retrieval,46014
Chinchilla,2024,SIGIR,retrieval,45927
RAG,2018,ICLR,classification,48653
InstructGPT,2017,ICLR,classification,7645
PaLM,2022,SIGIR,retrieval,7738
PaLM,2020,ACL,embeddings,17353
Attention Is All You Need,2024,CIKM,embeddings,9872
FLAN,2022,ICLR,retrieval,11743
REALM,2022,NeurIPS,generation,27194
Chinchilla,2024,NAACL,generation,28920
Alpaca,2024,ICLR,retrieval,18553
FLAN,2021,NeurIPS,classification,14088
RoBERTa,2018,NeurIPS,retrieval,41816
QLoRA,2023,SIGIR,language_model,24319
LLaMA,2020,NAACL,language_model,40602
T5,2023,ICML,classification,6942
InstructGPT,2020,SIGIR,embeddings,21078
BERT,2019,ICML,embeddings,6101
PaLM,2018,ACL,embeddings,7963
PaLM,2022,EMNLP,classification,44335
DPR,2021,ICML,embeddings,16961
GPT-3,2020,ICML,classification,24288
InstructGPT,2024,EMNLP,language_model,6006
RAG,2022,SIGIR,retrieval,34943
LLaMA,2020,ACL,generation,13854
ANCE,2018,NeurIPS,generation,30251
LoRA,2020,CIKM,generation,3565
T5,2017,NAACL,embeddings,3407
Chinchilla,2024,CIKM,language_model,22598
LLaMA,2020,NeurIPS,embeddings,9728
Attention Is All You Need,2019,SIGIR,classification,22365
BERT,2022,NeurIPS,retrieval,21472
GPT-3,2022,SIGIR,language_model,7492
InstructGPT,2021,CIKM,language_model,5088
LLaMA,2017,SIGIR,classification,25410
ANCE,2021,CIKM,classification,17695
GPT-3,2022,ACL,language_model,33988
Alpaca,2022,CIKM,retrieval,23639
Alpaca,2018,NeurIPS,embeddings,18281
Alpaca,2022,ICLR,embeddings,36787
T5,2018,ICLR,generation,44651
Alpaca,2020,SIGIR,generation,7436
REALM,2021,ICLR,embeddings,41841
LLaMA,2023,ICLR,embeddings,4967
Attention Is All You Need,2021,NAACL,language_model,25263
RAG,2018,NeurIPS,retrieval,12850
LoRA,2024,EMNLP,classification,6650
DPR,2024,ICLR,language_model,44777
Chinchilla,2018,ACL,classification,23386
RAG,2022,ACL,language_model,36056
ANCE,2021,NeurIPS,classification,37179
FLAN,2022,SIGIR,embeddings,6086
REALM,2024,CIKM,retrieval,36927
GPT-3,2020,EMNLP,generation,11018
BERT,2021,NeurIPS,retrieval,19928
PaLM,2021,ICLR,retrieval,37259
T5,2021,SIGIR,retrieval,12613
Attention Is All You Need,2023,NeurIPS,generation,9145
LLaMA,2022,CIKM,generation,40234
GPT-3,2024,SIGIR,embeddings,33561
LoRA,2020,NAACL,retrieval,2935
RoBERTa,2022,EMNLP,classification,27047
DPR,2018,NAACL,generation,32972
LLaMA,2018,SIGIR,retrieval,34896
Attention Is All You Need,2019,ICML,classification,40854
InstructGPT,2017,EMNLP,generation,26831
RAG,2024,ICLR,retrieval,49884
Attention Is All You Need,2017,ICML,embeddings,49418
ColBERT,2024,ACL,language_model,2126
FLAN,2018,SIGIR,generation,12240
PaLM,2019,NeurIPS,embeddings,20563
LLaMA,2019,ACL,generation,5069
ANCE,2022,ICLR,classification,34335
ColBERT,2021,ICLR,generation,35391
QLoRA,2021,ACL,language_model,36353
LLaMA,2021,EMNLP,language_model,27156
RAG,2017,NAACL,language_model,46713
InstructGPT,2019,ICLR,embeddings,46238
QLoRA,2023,ACL,generation,48738
LoRA,2018,CIKM,generation,16790
LLaMA,2023,CIKM,embeddings,7116
GPT-3,2020,ICLR,retrieval,31780
RAG,2021,NAACL,generation,38065
RAG,2018,CIKM,classification,37195
ANCE,2024,CIKM,language_model,12865
BERT,2017,EMNLP,retrieval,26161
BERT,2023,NAACL,language_model,19774
BERT,2018,ICML,classification,38686
RoBERTa,2021,ICML,classification,34114
Attention Is All You Need,2019,ICLR,generation,8186
PaLM,2023,NeurIPS,embeddings,40244
RoBERTa,2017,EMNLP,generation,27478
PaLM,2024,ICML,retrieval,30374
PaLM,2024,ICLR,language_model,539
InstructGPT,2020,CIKM,language_model,35541
InstructGPT,2019,CIKM,embeddings,47899
DPR,2023,NAACL,classification,38022
DPR,2020,EMNLP,language_model,15421
