title,year,venue,topic,citation_count
T5,2017,ACL,language_model,33238
Attention Is All You Need,2024,ICLR,generation,25785
DPR,2021,ICLR,classification,28827
PaLM,2019,EMNLP,embeddings,23647
PaLM,2021,NeurIPS,retrieval,6089
LLaMA,2022,ICLR,retrieval,24473
ANCE,2018,ICLR,generation,35934
QLoRA,2023,EMNLP,classification,12241
LoRA,2020,CIKM,embeddings,27142
Alpaca,2017,NAACL,classification,243
T5,2019,ACL,generation,9775
Attention Is All You Need,2024,CIKM,embeddings,17621
Chinchilla,2020,ICLR,embeddings,27452
LoRA,2022,ICLR,language_model,8974
GPT-3,2024,ACL,retrieval,8659
ANCE,2019,NAACL,language_model,42596
REALM,2022,SIGIR,language_model,49268
DPR,2021,ICML,classification,11824
REALM,2022,NAACL,language_model,17964
ANCE,2021,ICML,generation,18832
RAG,2021,ACL,classification,19665
QLoRA,2023,ACL,generation,11432
QLoRA,2023,EMNLP,embeddings,9582
RoBERTa,2017,CIKM,classification,32107
InstructGPT,2020,NeurIPS,retrieval,14732
GPT-3,2023,NeurIPS,generation,49805
Attention Is All You Need,2022,EMNLP,retrieval,37809
RAG,2022,ICML,retrieval,11071
PaLM,2017,NAACL,embeddings,8420
RAG,2018,ICLR,classification,47554
Attention Is All You Need,2024,ICLR,retrieval,48287
ANCE,2018,CIKM,classification,36883
Chinchilla,2017,ACL,retrieval,2199
RoBERTa,2018,ICLR,generation,23349
DPR,2020,NAACL,embeddings,9613
LLaMA,2017,NAACL,retrieval,18459
LoRA,2024,ICML,classification,36787
Alpaca,2017,CIKM,retrieval,4598
InstructGPT,2018,SIGIR,retrieval,48415
InstructGPT,2024,ICLR,language_model,38261
QLoRA,2020,EMNLP,language_model,17889
T5,2023,NAACL,classification,46113
PaLM,2024,ACL,generation,30370
ANCE,2021,ACL,retrieval,19300
BERT,2017,CIKM,retrieval,37093
RAG,2019,ICML,retrieval,20058
LLaMA,2024,EMNLP,language_model,41830
LoRA,2021,ICML,classification,2752
LLaMA,2023,EMNLP,embeddings,27946
T5,2017,NAACL,embeddings,11736
QLoRA,2020,EMNLP,generation,19978
DPR,2017,ACL,generation,36234
Attention Is All You Need,2021,SIGIR,language_model,6224
T5,2021,CIKM,retrieval,16553
Attention Is All You Need,2021,NAACL,generation,39516
REALM,2023,ACL,retrieval,26681
PaLM,2018,ICLR,embeddings,35834
DPR,2020,CIKM,generation,13857
Attention Is All You Need,2022,ICLR,generation,29785
BERT,2024,NeurIPS,classification,36487
DPR,2024,ICML,generation,3390
Alpaca,2018,ICML,classification,2333
ANCE,2019,ICLR,embeddings,28709
Alpaca,2023,ICML,generation,41600
ColBERT,2022,ACL,retrieval,42502
T5,2019,CIKM,language_model,46807
DPR,2018,CIKM,retrieval,45612
InstructGPT,2021,ACL,embeddings,27140
LLaMA,2021,NeurIPS,classification,24031
ANCE,2019,EMNLP,generation,4954
REALM,2017,NeurIPS,classification,1991
InstructGPT,2023,ACL,language_model,17705
PaLM,2017,ACL,language_model,16498
Alpaca,2021,NeurIPS,generation,2673
InstructGPT,2017,CIKM,generation,38724
FLAN,2019,EMNLP,retrieval,18538
ColBERT,2023,ICLR,classification,32623
LoRA,2024,ACL,classification,32502
RAG,2019,NAACL,generation,2925
InstructGPT,2019,ICML,generation,34296
InstructGPT,2017,SIGIR,classification,24141
ColBERT,2020,ICML,classification,26081
QLoRA,2021,EMNLP,classification,31905
REALM,2017,ICML,generation,38087
ColBERT,2023,ICML,language_model,19745
BERT,2022,ACL,classification,4002
DPR,2021,ACL,language_model,33193
ColBERT,2024,ICML,embeddings,43792
GPT-3,2019,ICLR,embeddings,26816
LoRA,2017,ICLR,embeddings,44538
PaLM,2018,ICML,classification,46967
T5,2019,ICML,embeddings,11584
QLoRA,2022,ACL,retrieval,35450
RoBERTa,2019,NeurIPS,generation,24416
Alpaca,2023,NeurIPS,generation,30523
ColBERT,2021,SIGIR,retrieval,46728
ColBERT,2023,ACL,embeddings,5448
Attention Is All You Need,2018,NAACL,generation,18913
PaLM,2021,NeurIPS,embeddings,31688
ANCE,2021,ACL,language_model,6504
