service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
api,64.4,1247.4,1.011,3328,99.016
cache,30.6,953.9,0.896,5289,99.941
reranker,84.6,1705.6,1.142,8230,99.259
llm,48.1,936.2,1.402,9456,99.765
llm,56.1,1597.0,0.309,1946,99.769
embedding,10.7,674.3,0.922,1040,99.582
bm25,21.2,1182.6,1.395,9303,99.694
reranker,18.0,1608.7,1.638,7520,99.983
cache,9.7,1395.2,1.59,3978,99.079
bm25,68.6,421.0,1.453,3646,99.081
cache,12.0,1855.3,0.649,9437,99.91
reranker,54.9,516.7,1.78,5872,99.084
ingest,66.3,1165.7,0.933,8940,99.683
memory,6.8,1082.3,1.164,6310,99.195
db,70.0,1024.2,0.684,2975,99.535
memory,79.3,739.8,1.572,8923,99.516
memory,49.2,840.5,1.463,8930,99.493
ingest,91.1,446.4,1.301,1839,99.992
api,99.8,1772.1,1.904,3165,99.471
memory,5.9,1843.8,1.923,8743,99.429
api,91.2,306.1,1.865,1623,99.05
cache,47.2,1140.3,0.602,5331,99.848
llm,24.3,1013.7,1.124,8565,99.764
memory,80.9,428.3,1.991,4885,99.147
embedding,51.8,1992.9,0.747,2916,99.897
retrieval,38.6,1239.3,0.478,1567,99.063
ingest,33.5,74.6,0.312,9240,99.945
cache,90.6,600.4,1.081,1630,99.419
ingest,77.1,1035.6,0.908,4303,99.526
memory,93.5,385.7,0.049,1886,99.146
cache,38.6,33.1,0.901,356,99.362
ingest,44.4,1564.3,1.026,1738,99.342
llm,1.2,97.2,1.451,3546,99.07
api,88.9,1459.1,0.856,9037,99.232
ingest,1.1,768.3,0.296,5610,99.322
embedding,73.2,1914.8,1.001,9019,99.196
cache,17.1,679.0,1.109,7094,99.628
cache,93.3,188.4,1.141,2826,99.287
db,34.9,777.9,1.765,4686,99.755
bm25,43.0,1716.3,0.893,1701,99.731
embedding,81.9,1604.7,1.299,7847,99.5
llm,33.3,1401.4,1.197,8249,99.786
ingest,68.8,1398.1,1.553,927,99.104
bm25,10.7,687.1,0.335,8844,99.018
embedding,69.8,1627.4,0.838,3072,99.855
retrieval,75.0,1892.7,0.844,747,99.033
embedding,41.5,1620.8,0.073,8976,99.632
llm,19.5,1358.0,0.224,3239,99.269
bm25,11.8,1803.3,1.955,6525,99.446
memory,97.7,1742.4,0.044,1709,99.019
llm,27.9,452.6,0.668,6244,99.296
bm25,68.9,944.4,0.273,1161,99.705
bm25,63.8,748.3,1.593,9677,99.135
cache,57.1,1972.6,1.316,8818,99.881
reranker,13.9,787.8,0.205,8756,99.701
api,44.0,363.2,1.941,9232,99.188
memory,13.4,376.9,0.267,4652,99.508
db,68.0,692.0,0.507,8710,99.552
reranker,88.8,1661.1,1.635,7705,99.857
reranker,23.1,991.0,1.655,4769,99.084
db,27.9,574.7,0.63,5879,99.506
api,21.6,870.1,0.249,3246,99.456
retrieval,38.4,659.6,1.77,4840,99.101
db,97.3,1831.1,1.527,3458,99.707
bm25,10.0,1555.0,1.338,8632,99.924
llm,11.7,1194.8,0.06,5653,99.673
reranker,18.3,391.2,1.245,5870,99.795
embedding,85.5,898.7,0.366,7294,99.234
embedding,44.3,1529.1,0.486,8441,99.096
bm25,76.2,754.0,1.687,5720,99.283
reranker,29.4,666.5,1.957,4528,99.467
reranker,82.8,1569.3,0.082,6304,99.127
embedding,9.3,1562.0,1.136,850,99.683
db,34.8,1192.7,1.389,5079,99.697
api,59.3,1642.0,0.785,4361,99.081
db,1.7,327.7,0.755,8006,99.371
bm25,28.4,327.5,1.9,2783,99.573
retrieval,5.4,530.4,0.901,5222,99.036
reranker,77.5,383.4,0.329,3099,99.621
embedding,35.5,1221.4,0.296,6005,99.309
db,1.4,1520.4,0.08,6684,99.74
ingest,23.9,1736.3,0.008,9837,99.491
db,13.7,1978.8,0.079,9462,99.437
cache,23.2,1265.7,1.594,1533,99.472
memory,60.7,1905.2,0.983,5364,99.98
cache,56.9,1334.4,0.886,6633,99.435
embedding,46.0,45.3,1.894,9165,99.606
cache,14.0,511.9,1.042,6647,99.585
llm,4.0,13.1,0.827,7903,99.614
memory,10.9,1175.1,1.289,6137,99.52
ingest,21.9,1219.7,0.898,387,99.541
retrieval,56.9,1435.0,1.457,2144,99.035
reranker,45.8,1277.3,1.836,7227,99.379
reranker,32.3,1606.9,0.22,2419,99.508
db,33.7,951.6,0.715,1206,99.121
db,36.8,983.4,1.371,16,99.816
cache,80.8,1117.8,0.093,275,99.231
memory,53.4,1207.8,0.194,1287,99.176
ingest,81.9,584.2,0.882,8087,99.016
reranker,74.6,1294.1,0.521,7838,99.61
