title,year,venue,topic,citation_count
LoRA,2019,NAACL,generation,4739
ColBERT,2019,EMNLP,language_model,44909
RAG,2023,ICML,embeddings,17335
T5,2018,NeurIPS,language_model,42172
LLaMA,2019,CIKM,retrieval,40628
Alpaca,2017,ICLR,generation,24675
QLoRA,2024,ICLR,language_model,25957
Alpaca,2024,NeurIPS,retrieval,15701
T5,2018,SIGIR,classification,30999
ColBERT,2021,EMNLP,language_model,14440
ANCE,2022,ICML,retrieval,8091
LLaMA,2021,NeurIPS,generation,38750
REALM,2020,EMNLP,classification,46964
LoRA,2024,ACL,language_model,23495
BERT,2017,ICML,retrieval,41987
LLaMA,2021,EMNLP,language_model,44967
ColBERT,2021,NAACL,classification,12485
Alpaca,2017,NAACL,generation,37891
Attention Is All You Need,2023,SIGIR,classification,42903
ColBERT,2020,ACL,classification,23668
FLAN,2023,NeurIPS,classification,49127
T5,2021,NAACL,classification,25970
RoBERTa,2019,EMNLP,embeddings,8249
DPR,2024,EMNLP,retrieval,22166
PaLM,2020,ICML,retrieval,27230
PaLM,2023,ACL,generation,22375
DPR,2024,SIGIR,retrieval,21259
RAG,2017,EMNLP,language_model,6226
REALM,2017,NAACL,generation,44227
RoBERTa,2017,SIGIR,retrieval,24485
DPR,2017,SIGIR,retrieval,42125
QLoRA,2021,CIKM,classification,26926
Chinchilla,2020,EMNLP,generation,4630
GPT-3,2024,CIKM,classification,7146
InstructGPT,2024,NAACL,classification,3411
T5,2024,EMNLP,generation,41980
BERT,2022,EMNLP,classification,5147
RAG,2024,ICML,embeddings,3499
RAG,2023,SIGIR,language_model,10822
QLoRA,2020,EMNLP,classification,45805
QLoRA,2019,SIGIR,classification,12050
ColBERT,2021,NAACL,classification,45479
ColBERT,2019,SIGIR,retrieval,29639
QLoRA,2022,SIGIR,language_model,22208
ColBERT,2018,ICLR,embeddings,46656
RAG,2017,CIKM,retrieval,27112
ANCE,2019,ICLR,generation,33576
LLaMA,2018,CIKM,language_model,28407
ANCE,2022,SIGIR,embeddings,32167
DPR,2024,ACL,embeddings,23615
LLaMA,2018,NAACL,embeddings,32249
Chinchilla,2020,ICLR,language_model,36648
QLoRA,2019,SIGIR,classification,3827
REALM,2019,ICLR,embeddings,27764
ColBERT,2023,SIGIR,language_model,45344
Attention Is All You Need,2024,ICML,language_model,40937
InstructGPT,2019,ICML,retrieval,22067
Alpaca,2017,ACL,classification,22354
QLoRA,2020,CIKM,generation,29422
GPT-3,2021,NAACL,classification,43917
ANCE,2024,EMNLP,language_model,14262
RAG,2018,SIGIR,classification,5436
REALM,2017,NAACL,classification,43566
Alpaca,2022,ICLR,classification,40359
FLAN,2018,NeurIPS,language_model,12949
DPR,2022,NAACL,language_model,45044
Alpaca,2024,EMNLP,retrieval,29452
RAG,2021,CIKM,classification,182
DPR,2017,NAACL,retrieval,49611
ANCE,2018,CIKM,language_model,7866
BERT,2023,ACL,embeddings,40769
LoRA,2022,ICLR,embeddings,15393
LoRA,2021,EMNLP,embeddings,49968
REALM,2022,NAACL,language_model,47237
RoBERTa,2024,ACL,retrieval,7197
GPT-3,2021,CIKM,embeddings,16939
RoBERTa,2017,NeurIPS,classification,23649
Alpaca,2023,ACL,generation,39648
T5,2020,ACL,retrieval,28970
InstructGPT,2022,CIKM,generation,29983
REALM,2023,NAACL,language_model,9752
DPR,2022,ACL,language_model,45346
LoRA,2017,EMNLP,embeddings,1391
LLaMA,2024,CIKM,classification,35661
InstructGPT,2023,EMNLP,retrieval,32892
T5,2024,SIGIR,retrieval,36965
RAG,2019,ICLR,retrieval,45358
InstructGPT,2024,EMNLP,language_model,37698
GPT-3,2017,ICLR,language_model,45994
RoBERTa,2022,ICLR,language_model,49830
GPT-3,2021,ICML,classification,14314
ColBERT,2021,ICML,classification,24226
ANCE,2021,NAACL,retrieval,38712
RAG,2018,ICML,classification,13874
QLoRA,2017,ICLR,retrieval,19461
T5,2024,ICLR,generation,6639
Attention Is All You Need,2024,ICLR,embeddings,14121
Chinchilla,2024,ACL,retrieval,5839
BERT,2017,NAACL,generation,25992
LLaMA,2022,ICML,embeddings,16880
