service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
ingest,69.7,1970.9,1.244,9344,99.96
retrieval,42.2,1668.4,1.724,8399,99.753
ingest,41.3,983.4,0.918,4167,99.223
embedding,60.6,1524.9,1.344,3338,99.143
memory,58.5,1638.3,0.677,6277,99.586
bm25,86.5,1967.7,0.403,3006,99.948
api,72.5,1114.2,1.957,4981,99.397
bm25,27.4,1408.9,1.473,6497,99.799
bm25,51.4,1848.7,0.049,8278,99.227
ingest,14.9,1468.7,0.825,5116,99.706
bm25,88.6,1051.3,0.453,6921,99.548
cache,43.6,83.7,1.648,6361,99.181
llm,69.0,687.5,0.098,8482,99.452
reranker,78.6,111.7,0.134,1065,99.322
llm,95.0,783.6,1.498,2364,99.44
api,26.1,65.9,0.724,9612,99.977
retrieval,18.9,180.8,0.841,7920,99.848
reranker,97.4,156.5,0.61,5504,99.706
llm,72.4,134.9,1.482,4672,99.879
api,67.7,162.4,0.49,848,99.772
embedding,66.2,1194.4,1.02,6042,99.804
retrieval,85.3,1359.7,1.033,7375,99.006
memory,93.5,1214.3,0.605,7723,99.857
api,81.3,1554.9,0.03,5349,99.091
llm,76.2,1170.6,1.02,8687,99.837
bm25,16.6,1951.0,1.778,7636,99.003
llm,57.3,1822.5,0.041,2177,99.809
retrieval,31.0,1776.0,1.525,1341,99.859
reranker,44.6,455.9,1.66,9932,99.997
reranker,64.2,1358.0,1.663,7800,99.01
embedding,38.2,1321.7,0.683,8917,99.044
reranker,45.4,439.9,1.749,7114,99.391
reranker,96.1,471.5,0.906,595,99.514
reranker,50.3,1439.9,1.796,7129,99.714
llm,34.7,1956.9,0.177,6068,99.945
embedding,81.5,1038.5,1.519,7399,99.902
llm,92.2,1763.2,1.962,8232,99.108
ingest,30.3,1591.8,1.85,3112,99.943
bm25,1.5,355.9,0.515,9835,99.023
api,62.6,1488.9,1.054,9573,99.819
reranker,23.8,224.6,1.445,5366,99.156
db,87.5,364.5,0.39,7720,99.992
retrieval,26.9,1267.8,1.215,5898,99.545
ingest,92.6,936.7,0.914,6775,99.853
retrieval,32.1,1058.0,0.12,2566,99.162
db,72.7,610.2,1.415,8755,99.345
bm25,62.4,1832.5,1.602,1041,99.257
retrieval,5.2,1569.0,0.603,6649,99.395
embedding,49.6,1225.8,1.016,1429,99.692
api,21.9,25.0,0.319,3160,99.797
memory,61.6,498.6,1.268,9154,99.146
llm,32.1,1447.3,0.43,8016,99.214
db,70.4,12.6,1.682,5911,99.431
ingest,3.9,401.0,0.811,913,99.8
api,94.8,285.9,0.254,5085,99.777
memory,5.0,1101.2,0.831,3522,99.566
retrieval,55.9,1321.7,1.37,7906,99.22
reranker,49.5,1441.1,1.45,4860,99.159
db,65.5,1548.4,0.311,3608,99.621
llm,45.1,191.8,0.774,8713,99.703
embedding,89.1,1734.6,0.894,3343,99.644
bm25,30.7,148.6,1.4,3791,99.539
bm25,61.0,459.4,1.359,3595,99.074
memory,32.2,1521.0,1.51,745,99.535
embedding,1.0,1180.5,0.031,3671,99.124
ingest,87.1,487.5,0.14,4357,99.064
bm25,88.2,1556.0,0.693,9332,99.505
db,64.1,1492.2,0.761,1523,99.199
api,87.0,1446.6,0.649,4867,99.057
bm25,5.6,750.4,1.552,4836,99.76
ingest,16.6,1195.1,0.249,3353,99.844
cache,87.5,1245.0,0.98,2674,99.319
reranker,62.2,1036.2,1.982,9606,99.405
retrieval,14.5,292.3,0.76,2371,99.195
cache,7.8,432.2,1.357,7735,99.354
db,19.0,1720.5,0.369,1816,99.996
db,3.1,1009.4,0.944,9837,99.907
api,5.6,95.9,1.535,1218,99.604
retrieval,54.1,201.8,1.363,2031,99.94
memory,4.4,27.6,1.739,312,99.366
ingest,71.6,867.4,1.671,2426,99.572
reranker,29.8,345.7,0.591,6597,99.106
bm25,89.3,347.8,1.649,3362,99.401
api,55.6,1504.4,0.34,8923,99.759
memory,63.9,220.2,1.514,679,99.838
db,23.8,568.1,0.057,8615,99.213
cache,14.7,1015.6,1.74,9157,99.961
cache,50.2,434.7,1.378,242,99.195
llm,1.6,672.6,1.828,860,99.559
llm,8.2,823.0,1.482,7692,99.478
db,81.2,1107.4,1.817,8313,99.595
memory,28.0,1072.1,0.686,6156,99.314
retrieval,37.4,371.2,1.487,6652,99.796
db,17.4,1183.5,1.88,7887,99.741
ingest,8.5,303.9,0.873,4845,99.261
retrieval,24.2,1014.0,1.483,6509,99.629
reranker,71.2,806.3,0.3,4629,99.682
bm25,98.0,450.4,0.886,9232,99.545
bm25,60.1,550.2,0.377,3389,99.116
bm25,25.2,1857.9,0.321,9967,99.813
