title,year,venue,topic,citation_count
T5,2017,EMNLP,generation,29990
PaLM,2021,ACL,generation,46411
InstructGPT,2023,ACL,language_model,12445
LoRA,2017,ICML,embeddings,43358
DPR,2021,NeurIPS,language_model,42517
RoBERTa,2020,NeurIPS,embeddings,39931
ColBERT,2022,EMNLP,classification,27446
Attention Is All You Need,2018,SIGIR,generation,41675
RoBERTa,2024,ACL,classification,41106
LoRA,2021,ICML,embeddings,37135
LoRA,2024,NAACL,embeddings,15809
ANCE,2017,NeurIPS,embeddings,43076
BERT,2017,ICLR,generation,5471
LoRA,2018,CIKM,retrieval,20283
InstructGPT,2022,CIKM,classification,5146
Attention Is All You Need,2018,EMNLP,embeddings,7294
Alpaca,2018,ICML,retrieval,18972
RoBERTa,2022,ICLR,retrieval,42384
DPR,2023,NAACL,language_model,47057
LLaMA,2017,NAACL,embeddings,30457
Chinchilla,2020,ICLR,embeddings,5059
Chinchilla,2019,SIGIR,language_model,41317
LLaMA,2018,EMNLP,classification,13235
GPT-3,2021,ACL,language_model,24861
ANCE,2024,ACL,language_model,6453
PaLM,2019,ACL,language_model,33083
ColBERT,2024,ICML,retrieval,31973
FLAN,2019,EMNLP,classification,12651
Attention Is All You Need,2019,EMNLP,language_model,35916
InstructGPT,2018,ACL,embeddings,40799
ANCE,2018,NAACL,generation,29585
LLaMA,2020,EMNLP,embeddings,17431
FLAN,2017,EMNLP,language_model,42551
Chinchilla,2020,NeurIPS,classification,48321
GPT-3,2024,ICLR,generation,36544
Alpaca,2017,NeurIPS,generation,35772
FLAN,2023,CIKM,embeddings,36224
Alpaca,2018,ICML,generation,46726
DPR,2017,NAACL,language_model,31238
RAG,2024,ICML,classification,6220
DPR,2022,ACL,classification,24475
ColBERT,2022,CIKM,generation,46732
PaLM,2017,ACL,classification,6808
QLoRA,2018,NeurIPS,language_model,46963
Chinchilla,2023,ICLR,retrieval,37093
FLAN,2018,ACL,embeddings,35895
QLoRA,2017,CIKM,retrieval,27635
GPT-3,2022,ICML,generation,1229
InstructGPT,2018,NeurIPS,classification,40428
Chinchilla,2019,CIKM,retrieval,49010
LLaMA,2021,ICLR,generation,38462
Alpaca,2023,ICML,classification,38632
InstructGPT,2023,CIKM,retrieval,34903
LoRA,2023,NeurIPS,retrieval,852
Chinchilla,2024,SIGIR,retrieval,34564
QLoRA,2024,EMNLP,language_model,22498
FLAN,2022,ICLR,classification,45698
InstructGPT,2019,ACL,embeddings,6375
PaLM,2020,ACL,generation,4933
QLoRA,2020,ICML,retrieval,26214
FLAN,2018,ICML,retrieval,45164
InstructGPT,2022,NAACL,embeddings,1706
DPR,2017,ICML,classification,14999
Attention Is All You Need,2020,NAACL,generation,23214
QLoRA,2024,NAACL,embeddings,34356
RoBERTa,2020,CIKM,retrieval,37496
LLaMA,2017,NAACL,embeddings,34143
ColBERT,2023,NeurIPS,embeddings,41091
DPR,2018,ICLR,classification,25362
T5,2019,NeurIPS,classification,20784
GPT-3,2018,CIKM,retrieval,35510
RoBERTa,2022,CIKM,retrieval,4502
Attention Is All You Need,2022,ICML,classification,26480
BERT,2018,CIKM,retrieval,18251
ANCE,2018,EMNLP,generation,8821
FLAN,2017,CIKM,embeddings,30429
PaLM,2022,NeurIPS,language_model,39756
RAG,2022,EMNLP,retrieval,28944
Alpaca,2017,ACL,embeddings,25667
LLaMA,2017,NAACL,generation,16634
Chinchilla,2019,NAACL,language_model,24557
FLAN,2024,SIGIR,generation,37652
ANCE,2019,ACL,classification,7675
DPR,2023,CIKM,language_model,1499
BERT,2018,CIKM,classification,114
Attention Is All You Need,2019,EMNLP,language_model,26169
InstructGPT,2020,NAACL,classification,6202
Chinchilla,2022,EMNLP,embeddings,43947
InstructGPT,2018,ICLR,generation,26012
ANCE,2017,NAACL,embeddings,11010
LLaMA,2018,ACL,embeddings,20914
FLAN,2022,ACL,retrieval,46746
LoRA,2023,SIGIR,classification,2231
ANCE,2018,NeurIPS,retrieval,6529
LLaMA,2018,SIGIR,generation,422
FLAN,2020,NAACL,classification,45339
REALM,2022,ICLR,generation,19170
DPR,2017,CIKM,embeddings,37869
FLAN,2022,NeurIPS,retrieval,44846
ANCE,2021,ICLR,retrieval,4081
