service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
db,93.2,281.8,1.64,9501,99.437
api,35.1,440.8,0.868,7797,99.812
memory,52.2,1391.5,1.521,1999,99.664
memory,34.6,1641.3,0.56,8477,99.935
memory,66.9,467.8,0.446,2083,99.967
cache,39.2,467.1,1.652,9473,99.639
cache,2.1,118.0,0.671,2149,99.998
embedding,38.0,1895.2,0.749,1755,99.756
ingest,44.3,261.5,1.445,5646,99.697
reranker,73.3,1040.0,1.994,5650,99.531
ingest,31.0,1398.1,1.264,791,99.689
reranker,49.9,1773.4,1.055,1502,99.293
embedding,67.6,301.1,0.516,6924,99.951
bm25,46.8,1071.4,0.252,4372,99.504
embedding,94.5,169.7,1.221,4539,99.989
cache,70.0,1585.2,0.607,6026,99.535
bm25,89.7,1945.3,0.265,3449,99.466
embedding,7.0,1004.9,0.884,7328,99.673
api,49.3,1916.6,0.76,7282,99.371
llm,98.5,1525.3,0.316,8165,99.511
reranker,84.6,984.5,1.373,3794,99.191
ingest,43.8,1116.7,1.966,6508,99.19
reranker,67.6,453.6,1.122,2920,99.366
db,89.5,1673.4,1.462,1281,99.562
embedding,75.9,1770.9,1.586,974,99.343
api,26.5,1127.8,1.828,7040,99.001
embedding,1.8,1510.1,0.819,1064,99.635
ingest,7.9,335.6,1.956,1800,99.529
retrieval,99.6,939.0,1.496,9497,99.438
bm25,32.8,997.2,1.948,9209,99.497
reranker,32.6,233.9,1.084,7457,99.974
ingest,24.2,1709.7,1.01,3381,99.461
cache,21.3,1494.9,0.353,8586,99.418
retrieval,57.0,691.0,0.17,5577,99.998
memory,83.9,1229.4,1.071,5389,99.047
bm25,83.2,362.0,1.281,7929,99.244
retrieval,43.3,1562.1,0.934,8176,99.909
bm25,96.2,936.7,1.544,9538,99.841
db,69.3,367.5,1.217,5448,99.822
retrieval,54.4,675.2,0.983,8949,99.805
cache,88.3,768.5,0.374,1569,99.954
embedding,1.7,582.0,0.994,1185,99.483
retrieval,22.3,1559.4,0.88,7421,99.057
ingest,66.7,748.7,0.907,7221,99.615
retrieval,2.6,880.2,0.813,8379,99.25
bm25,92.3,10.7,0.863,1898,99.191
bm25,28.9,27.3,1.509,1189,99.776
retrieval,17.5,1366.0,1.132,8270,99.854
reranker,55.5,1623.1,0.257,7676,99.167
ingest,59.1,1036.5,0.048,9970,99.735
reranker,48.6,51.9,1.852,9079,99.509
bm25,18.1,1860.6,0.579,4251,99.153
memory,81.8,1458.7,1.742,2321,99.295
memory,70.0,686.8,0.404,9051,99.369
reranker,63.9,1564.7,1.998,2924,99.528
reranker,91.9,430.2,1.721,8563,99.627
bm25,53.3,1391.8,1.565,144,99.166
ingest,77.3,174.2,1.772,1636,99.557
retrieval,48.2,403.5,0.842,4438,99.095
cache,95.1,793.9,0.01,4640,99.172
llm,81.3,216.4,0.24,6199,99.708
reranker,78.8,1995.6,0.467,1191,99.958
bm25,2.5,985.3,1.377,9728,99.716
retrieval,9.4,471.4,0.192,2948,99.19
embedding,33.8,994.6,1.54,5604,99.48
ingest,76.9,736.4,1.972,9603,99.403
cache,74.0,519.4,1.379,7933,99.261
retrieval,52.6,624.7,1.746,6994,99.117
memory,3.5,1680.6,0.348,75,99.884
api,29.0,749.1,1.668,332,99.14
memory,44.0,1541.3,1.937,2074,99.218
api,42.3,1559.8,0.152,7155,99.288
reranker,49.4,1472.8,0.796,2703,99.056
bm25,71.5,765.4,0.092,7131,99.229
llm,58.2,1596.1,0.984,1802,99.625
embedding,45.1,1217.9,1.84,7088,99.402
memory,89.9,1502.8,0.917,1389,99.447
llm,52.3,1766.1,0.686,5308,99.765
db,58.6,793.8,1.264,1163,99.162
cache,17.9,966.1,0.461,9982,99.026
bm25,75.2,726.1,1.072,1207,99.829
retrieval,19.9,1032.4,0.938,2481,99.188
embedding,74.0,1242.0,0.951,2283,99.345
reranker,14.8,1396.4,0.09,1607,99.681
embedding,7.6,629.6,0.647,6627,99.57
reranker,59.3,1850.3,1.58,3016,99.272
cache,92.5,1028.8,0.303,186,99.741
api,50.5,1717.0,1.309,5295,99.192
memory,93.7,511.7,1.789,3561,99.312
embedding,63.8,1660.3,1.693,4227,99.434
cache,15.5,1513.5,0.42,7547,99.992
reranker,88.6,1560.7,1.482,8810,99.209
reranker,31.8,135.1,0.989,944,99.289
llm,45.6,321.6,1.857,2608,99.102
memory,82.3,1031.4,0.411,2290,99.177
bm25,49.3,942.8,0.857,6612,99.179
embedding,57.0,884.5,1.184,2461,99.225
db,5.9,1927.8,1.159,4888,99.636
ingest,83.0,1185.2,1.856,4149,99.492
db,56.2,68.0,1.069,545,99.035
