service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
ingest,53.8,910.0,1.33,5562,99.042
db,93.7,1675.4,0.011,7892,99.431
bm25,18.4,1051.0,0.829,1830,99.921
embedding,44.6,275.8,1.125,3808,99.364
db,44.5,794.4,0.74,3218,99.866
api,4.8,762.2,0.491,4840,99.164
embedding,82.6,1271.2,1.628,5017,99.617
db,74.5,1595.6,0.486,7852,99.444
reranker,26.0,345.6,0.044,4025,99.045
cache,61.1,1771.2,0.565,2142,99.613
cache,36.3,953.9,1.59,1887,99.366
memory,32.5,1149.9,1.406,7437,99.426
bm25,81.7,1385.9,0.569,6326,99.991
bm25,88.7,1233.9,0.107,1273,99.958
reranker,68.2,75.2,0.451,3517,99.299
api,22.6,1475.6,1.619,6203,99.451
ingest,85.2,1665.1,1.475,5688,99.413
ingest,40.8,442.1,0.837,4740,99.061
embedding,82.2,1764.2,0.421,9923,99.799
embedding,48.4,514.1,1.562,9212,99.447
embedding,82.5,1992.2,1.957,4191,99.201
api,80.8,789.7,1.663,1534,99.167
ingest,12.1,1322.3,0.502,9953,99.265
retrieval,58.9,676.2,0.19,2383,99.866
bm25,44.0,261.4,0.709,3114,99.611
embedding,85.2,682.5,1.828,2760,99.748
ingest,29.3,399.6,1.65,9017,99.827
api,36.8,999.4,1.957,4986,99.09
llm,31.6,1133.6,1.289,6173,99.483
ingest,4.0,21.0,1.753,7802,99.477
bm25,93.0,939.6,0.76,2688,99.834
memory,60.5,1392.1,1.712,4097,99.486
embedding,65.5,466.4,1.608,3486,99.112
cache,43.5,283.9,1.786,1375,99.239
api,87.8,1248.5,1.953,8605,99.722
db,3.8,927.3,0.743,1385,99.694
bm25,11.2,809.3,1.559,3330,99.871
db,55.8,1874.3,1.375,5674,99.174
retrieval,49.0,33.7,1.445,1553,99.129
api,51.4,15.3,0.649,6134,99.967
reranker,49.0,656.7,1.175,9798,99.082
memory,19.5,378.8,0.333,285,99.718
ingest,47.0,1148.2,0.54,5642,99.357
embedding,29.7,1672.6,0.534,681,99.764
cache,47.0,427.3,0.808,6650,99.079
bm25,8.5,440.2,0.437,332,99.665
ingest,71.0,846.4,0.219,7819,99.968
reranker,74.1,1468.9,0.742,4100,99.135
cache,1.2,1297.7,1.8,6780,99.203
ingest,88.4,216.9,1.174,8919,99.12
api,18.1,110.1,0.184,3633,99.042
api,50.4,1356.8,0.94,6191,99.882
ingest,59.6,900.7,0.724,5465,99.327
embedding,51.2,1375.5,1.76,6231,99.577
reranker,6.4,1648.4,1.523,262,99.294
memory,82.1,301.7,0.004,4289,99.937
api,18.0,1308.7,1.329,8554,99.973
ingest,78.0,916.9,1.231,6705,99.572
memory,91.2,903.2,1.546,4498,99.469
memory,12.8,1930.7,1.958,3524,99.54
reranker,90.5,1555.1,1.98,1033,99.712
reranker,42.5,830.2,1.537,5741,99.251
embedding,62.7,45.3,0.088,1248,99.722
retrieval,64.3,176.2,1.301,6672,99.18
ingest,71.1,79.6,0.807,4686,99.133
embedding,15.4,614.6,1.117,6424,99.491
llm,86.8,649.7,0.317,5249,99.135
bm25,38.4,1442.5,0.711,9896,99.171
cache,7.3,148.3,0.641,4051,99.348
bm25,56.6,112.9,0.351,441,99.176
retrieval,94.7,13.6,0.329,500,99.009
memory,8.5,954.8,1.601,3516,99.81
retrieval,40.6,737.0,0.655,832,99.226
memory,76.6,145.4,0.373,7220,99.376
ingest,35.5,689.9,0.688,3231,99.737
db,99.4,1775.1,1.622,575,99.622
bm25,6.6,1978.1,0.825,4431,99.462
reranker,1.8,341.5,0.397,6156,99.077
llm,21.0,282.9,0.577,2026,99.061
embedding,80.0,1224.3,0.301,128,99.836
retrieval,91.2,14.6,0.2,9368,99.16
memory,67.1,1198.4,1.976,5646,99.434
memory,64.0,1247.8,0.335,6719,99.023
ingest,72.2,743.6,0.649,6115,99.593
llm,65.7,567.2,0.527,818,99.996
llm,11.2,1649.9,0.355,5474,99.77
reranker,30.4,326.8,1.317,3537,99.918
ingest,33.0,1458.8,0.44,5054,99.781
retrieval,90.2,569.1,0.472,4932,99.166
reranker,64.1,88.1,0.16,4054,99.874
llm,61.4,1199.6,1.14,2227,99.004
embedding,99.8,1599.5,1.993,3944,99.929
db,6.7,825.4,0.011,2865,99.639
api,29.9,1953.1,1.149,7075,99.607
embedding,32.2,1865.0,0.199,4634,99.465
embedding,74.4,1355.7,0.673,5920,99.906
db,76.0,536.2,0.339,1093,99.185
llm,45.9,1920.9,0.404,6269,99.498
reranker,85.5,523.4,1.467,9141,99.654
reranker,53.4,977.4,0.19,2782,99.303
