service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
db,19.2,1431.3,1.614,91,99.926
cache,16.4,78.3,0.478,2838,99.71
bm25,8.5,1039.1,0.65,6503,99.688
bm25,82.0,1435.7,0.139,2381,99.439
cache,48.9,433.8,1.365,1584,99.809
llm,7.6,208.6,1.019,1412,99.323
ingest,57.1,455.4,1.519,8256,99.956
bm25,77.1,1316.4,0.846,7105,99.725
db,26.5,909.8,0.983,5586,99.467
cache,67.6,1610.4,1.345,5856,99.896
reranker,97.1,511.2,0.568,6930,99.779
embedding,87.8,985.1,0.458,696,99.102
retrieval,34.4,693.6,1.564,2174,99.319
api,64.8,1543.6,1.607,9326,99.168
llm,82.6,521.2,0.535,2999,99.025
reranker,10.7,649.7,1.763,2424,99.09
llm,26.8,1651.6,0.779,694,99.891
ingest,87.2,46.1,0.51,4525,99.783
ingest,33.4,247.8,1.131,4605,99.275
bm25,53.9,1806.8,0.265,358,99.9
embedding,63.7,584.3,1.469,1406,99.429
cache,4.0,1226.5,0.692,6438,99.518
bm25,13.6,1040.5,1.021,7324,99.094
retrieval,14.2,1140.0,1.727,1409,99.88
ingest,36.1,1540.9,1.952,4582,99.373
retrieval,16.5,1226.5,0.562,3199,99.252
llm,70.3,408.5,1.903,119,99.761
cache,9.4,1714.9,0.692,3105,99.379
embedding,61.4,157.1,1.243,2858,99.247
bm25,99.9,1063.9,1.756,7297,99.332
ingest,78.9,1077.7,0.715,2889,99.658
api,66.4,1829.4,1.41,3046,99.985
bm25,40.8,777.7,1.195,4272,99.739
llm,80.2,515.2,1.18,8060,99.76
memory,63.5,945.8,1.242,1546,99.452
db,36.6,801.7,1.836,5797,99.919
api,19.1,1374.3,0.356,3804,99.991
reranker,28.9,1706.5,1.115,4309,99.517
llm,42.0,1904.6,0.98,7033,99.086
ingest,4.3,1498.1,1.53,9900,99.687
cache,99.8,705.9,1.956,6921,99.377
embedding,52.3,1521.6,1.45,1062,99.633
reranker,70.1,1558.3,1.183,4868,99.114
bm25,80.2,1707.2,1.782,4035,99.499
reranker,39.7,1149.5,0.59,5187,99.046
ingest,4.2,252.7,0.088,8666,99.489
retrieval,68.7,1741.2,1.823,5584,99.517
db,48.7,189.0,0.415,2789,99.781
llm,45.3,1237.4,0.483,2450,99.822
retrieval,22.9,1367.1,0.532,6369,99.938
llm,52.2,892.6,1.561,2389,99.587
llm,40.3,636.2,0.648,7017,99.437
db,19.2,1578.0,0.504,3468,99.151
db,68.5,604.8,1.356,500,99.407
cache,70.0,1052.6,0.418,4600,99.806
reranker,31.8,295.0,1.25,9789,99.105
api,85.5,82.0,1.247,2235,99.126
memory,79.6,827.9,1.333,7845,99.794
retrieval,19.6,1045.5,1.569,7113,99.821
llm,20.6,1387.5,1.922,780,99.088
llm,90.1,80.0,1.869,2824,99.662
memory,55.5,908.4,1.557,1199,99.146
memory,96.0,602.3,0.843,8045,99.345
bm25,25.3,725.3,0.651,4779,99.191
reranker,6.4,528.8,1.349,3150,99.314
api,9.8,490.8,1.467,1439,99.337
api,24.5,992.5,0.491,7821,99.375
ingest,56.9,367.2,1.663,3407,99.106
retrieval,68.3,1645.6,0.379,2812,99.652
retrieval,12.7,1751.5,0.607,5326,99.857
api,42.1,1013.2,1.872,5328,99.484
ingest,10.3,1652.8,0.634,8942,99.836
llm,86.1,1176.4,1.418,5499,99.377
memory,97.6,352.3,1.054,9599,99.805
cache,61.1,1324.7,1.88,8497,99.168
bm25,84.3,1512.9,0.348,2814,99.467
memory,65.2,1411.9,1.371,167,99.142
reranker,15.8,1258.8,0.433,6902,99.043
embedding,26.0,1691.8,1.437,8852,99.022
embedding,62.0,1669.2,0.869,6370,99.705
memory,31.4,758.2,1.258,5077,99.728
db,41.9,1697.6,0.349,1224,99.491
memory,85.4,1274.1,0.242,6223,99.333
memory,11.2,531.2,0.413,3346,99.741
embedding,29.7,1010.5,1.9,5096,99.059
api,70.5,991.7,0.898,6872,99.957
db,88.1,807.1,0.805,3897,99.622
reranker,50.8,1027.9,1.552,3024,99.951
memory,63.9,1243.4,1.761,2580,99.753
bm25,31.2,497.9,0.982,5521,99.651
retrieval,30.6,182.6,0.152,4003,99.463
llm,32.9,1611.4,1.837,5527,99.559
db,25.8,1313.6,1.785,722,99.814
ingest,91.7,986.8,1.244,2209,99.619
cache,17.3,1432.3,0.522,7665,99.711
ingest,97.9,298.2,1.208,473,99.925
ingest,82.2,842.6,0.447,8055,99.538
cache,56.2,384.8,0.457,7554,99.22
cache,3.3,161.7,1.63,2544,99.045
retrieval,77.6,1842.7,1.455,4807,99.086
