title,year,venue,topic,citation_count
Alpaca,2019,ICML,retrieval,11631
ANCE,2023,NAACL,embeddings,31629
Chinchilla,2017,ACL,embeddings,25024
REALM,2023,NAACL,language_model,46793
RoBERTa,2018,NAACL,generation,13593
RAG,2022,NAACL,embeddings,44449
T5,2019,ICLR,generation,36199
ANCE,2018,SIGIR,embeddings,36372
InstructGPT,2024,ICLR,generation,46329
RAG,2020,NeurIPS,embeddings,6506
ColBERT,2019,ICLR,classification,43772
Attention Is All You Need,2018,CIKM,language_model,11256
ColBERT,2020,NeurIPS,embeddings,42948
DPR,2021,SIGIR,embeddings,428
Attention Is All You Need,2023,ICLR,retrieval,25501
RAG,2018,EMNLP,retrieval,8469
Alpaca,2021,CIKM,classification,14407
RoBERTa,2021,CIKM,embeddings,31610
GPT-3,2018,ACL,retrieval,6444
T5,2021,EMNLP,retrieval,39576
T5,2019,NeurIPS,embeddings,51
QLoRA,2024,ICLR,embeddings,2528
ColBERT,2019,SIGIR,generation,47421
Attention Is All You Need,2021,NeurIPS,generation,38594
QLoRA,2024,SIGIR,retrieval,38341
InstructGPT,2021,SIGIR,retrieval,40173
LLaMA,2023,NeurIPS,embeddings,6901
PaLM,2020,ACL,generation,37534
RAG,2023,NeurIPS,generation,10375
FLAN,2022,CIKM,generation,2210
GPT-3,2019,NAACL,embeddings,23130
LoRA,2017,ICML,classification,888
FLAN,2021,NeurIPS,retrieval,12423
FLAN,2021,ACL,classification,14498
ANCE,2023,ACL,generation,45953
BERT,2024,CIKM,retrieval,9124
QLoRA,2024,ACL,generation,22521
BERT,2021,NeurIPS,embeddings,29994
T5,2020,ICLR,embeddings,35143
LoRA,2024,CIKM,classification,17392
RAG,2018,ICLR,language_model,38255
BERT,2022,EMNLP,retrieval,33024
LLaMA,2020,EMNLP,retrieval,49300
InstructGPT,2023,NAACL,generation,25367
LoRA,2023,ACL,generation,24843
InstructGPT,2024,NAACL,classification,37370
InstructGPT,2021,EMNLP,classification,44575
RoBERTa,2019,ICML,embeddings,15971
QLoRA,2020,SIGIR,embeddings,16783
T5,2020,NeurIPS,language_model,34943
ANCE,2019,NAACL,generation,103
BERT,2017,EMNLP,embeddings,46061
LoRA,2024,ICLR,retrieval,26825
Attention Is All You Need,2018,ACL,embeddings,12359
T5,2024,NAACL,retrieval,13505
Attention Is All You Need,2022,ICLR,generation,37002
REALM,2018,SIGIR,retrieval,15990
GPT-3,2021,SIGIR,retrieval,12031
BERT,2022,CIKM,classification,9958
Chinchilla,2023,SIGIR,language_model,26456
RAG,2021,NAACL,classification,4527
Attention Is All You Need,2023,EMNLP,retrieval,5384
LLaMA,2024,ACL,embeddings,8414
Chinchilla,2018,ICLR,language_model,25105
Attention Is All You Need,2020,NAACL,generation,36557
REALM,2022,CIKM,generation,28718
LoRA,2024,NeurIPS,retrieval,13936
Chinchilla,2024,EMNLP,embeddings,47437
LoRA,2023,EMNLP,classification,14142
QLoRA,2019,NAACL,generation,1455
Chinchilla,2018,ICLR,classification,7651
Alpaca,2018,CIKM,generation,33155
RAG,2024,NAACL,embeddings,40582
PaLM,2022,NAACL,generation,19030
REALM,2018,SIGIR,retrieval,28885
ColBERT,2024,CIKM,generation,16386
Alpaca,2018,NAACL,classification,4974
LoRA,2019,CIKM,language_model,16331
Alpaca,2018,EMNLP,classification,26201
Chinchilla,2022,ACL,retrieval,5552
T5,2024,ICLR,classification,14506
LoRA,2018,ACL,generation,4777
LLaMA,2017,NeurIPS,generation,3991
DPR,2018,ICLR,generation,38840
InstructGPT,2018,ICML,retrieval,30155
QLoRA,2020,ICML,language_model,13792
QLoRA,2018,ICLR,embeddings,25360
T5,2021,EMNLP,language_model,34554
QLoRA,2024,ICLR,language_model,4596
ColBERT,2023,ACL,retrieval,34456
LoRA,2022,CIKM,generation,31092
LoRA,2020,ACL,generation,9598
RAG,2022,NAACL,language_model,6209
Alpaca,2017,EMNLP,generation,49763
T5,2020,NAACL,classification,13404
ColBERT,2017,ICLR,embeddings,48850
PaLM,2022,SIGIR,generation,22314
ColBERT,2021,NAACL,generation,47785
GPT-3,2017,EMNLP,classification,3790
T5,2023,NAACL,classification,12997
